Test,System Number,System Name,Symbol,Unit,Position,Entry Date,Entry Time,Entry Order Price,Stop Price,Risk%,Quantity,Entry Fill,Entry DPP,Entry Stock Split Ratio,Exit Date,Exit Time,Exit Order Price,Exit Fill,Exit DPP,Dividends,Commission,Forex Carry,Profit,Profit%,Closed Equity,Total Equity,Drawdown,Days in Trade,R Multiple,Custom,Rule,,,,,,04.06.2012,06.06.2012,,,,,,,,
1,1,Donchian w Rule Labels,LH,1,Long,26.02.2014,Day,"98,5","96,325","2,67%",5,"98,525",400,1,29.05.2014,Day,"102,325","102,3",400,0,60,0,"7049,9064961","4,27%",113755,149613,"70,10%",92,"1,6022515",0,Breakout High Entry, Breakout Low Exit,26.02.2014,29.05.2014,,,41064,41066,,LH,,,,,,
1,1,Donchian w Rule Labels,LCO,1,Long,21.05.2014,Day,"129,58","127,21","1,55%",1,"129,6",1000,1,04.06.2014,Day,"127,21","127,2",1000,0,8,0,"-2463,1554517","-1,60%",122891,153610,"69,30%",14,"-1,030609",0,Breakout High Entry, Stop Exit,21.05.2014,04.06.2014,,,41064,41066,,LCO,,,,,,
1,1,Donchian w Rule Labels,GC,1,Short,30.05.2014,Day,"1280,9","1312,5","2,03%",1,"1280,7",100,1,13.06.2014,Day,"1312,5","1312,6",100,0,4,0,-3194,"-2,03%",135600,180707,"63,90%",14,"-1,0044025",0,Breakout Low Entry, Stop Exit,30.05.2014,13.06.2014,,,41064,41066,,GC,,,,,,
1,1,Donchian w Rule Labels,SI,1,Short,29.05.2014,Day,"1991,8","2068,5","2,54%",1,"1991,4",50,1,13.06.2014,Day,"2068,5",2069,50,0,4,0,-3884,"-2,56%",131718,180235,"64,00%",15,"-1,0075227",0,Breakout Low Entry, Stop Exit,29.05.2014,13.06.2014,,,41064,41066,,SI,,,,,,
1,1,Donchian w Rule Labels,LB,1,Short,22.05.2014,Day,"336,5","348,4","2,45%",3,"336,2",110,1,20.06.2014,Day,"348,4","348,5",110,0,24,0,"-4181,0282146","-2,55%",119946,192637,"61,50%",29,"-1,0385068",0,Breakout Low Entry, Stop Exit,22.05.2014,20.06.2014,,,41064,41066,,LB,,,,,,
1,1,Donchian w Rule Labels,OJ,1,Long,04.03.2014,Day,"134,2","128,2","2,86%",6,"134,4",150,1,24.06.2014,Day,"133,5","133,35",150,0,72,0,"-1308,8641951","-0,67%",111656,177522,"64,50%",112,"-0,2345635",0,Breakout High Entry, Breakout Low Exit,04.03.2014,24.06.2014,,,41064,41066,,OJ,,,,,,
1,1,Donchian w Rule Labels,LGO,1,Long,19.06.2014,Day,"1045,7","1026,05","2,15%",2,"1045,85",100,1,27.06.2014,Day,"1026,05","1025,95",100,0,8,0,-3988,"-2,17%",107664,208946,"58,20%",8,"-1,0070707",0,Breakout High Entry, Stop Exit,19.06.2014,27.06.2014,,,41064,41066,,LGO,,,,,,
1,1,Donchian w Rule Labels,HO,1,Long,19.06.2014,Day,"3,2874","3,2213","1,52%",1,"3,288",42000,1,30.06.2014,Day,"3,2213","3,2198",42000,0,4,0,"-2868,4","-1,56%",104799,208161,"58,40%",11,"-1,0239166",0,Breakout High Entry, Stop Exit,19.06.2014,30.06.2014,,,41064,41066,,HO,,,,,,
1,1,Donchian w Rule Labels,S,1,Long,06.02.2014,Day,"1087,75","1051,25","2,49%",2,1088,50,1,30.06.2014,Day,1212,"1210,5",50,0,32,0,"11860,8619009","8,05%",101670,203282,"59,30%",144,"3,2274454",0,Breakout High Entry, Breakout Low Exit,06.02.2014,30.06.2014,,,41064,41066,,S,,,,,,
1,1,Donchian w Rule Labels,LCO,1,Long,12.06.2014,Day,"129,68","127,53","2,67%",2,"129,82",1000,1,11.07.2014,Day,"127,53","127,52",1000,0,8,0,-4608,"-2,69%",97041,203432,"59,30%",29,"-1,0061135",0,Breakout High Entry, Stop Exit,12.06.2014,11.07.2014,,,41064,41066,,LCO,,,,,,
